country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.955,1990
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.780,1991
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.615,1992
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.451,1993
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.286,1994
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.532,1995
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,2.928,1996
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,3.251,1997
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,3.574,1998
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,3.897,1999
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,4.218,2000
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,4.731,2001
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,5.023,2002
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,5.178,2003
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,5.507,2004
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,6.315,2005
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,6.848,2006
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,7.381,2007
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,7.914,2008
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,7.941,2009
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.022,2010
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.199,2011
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.268,2012
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.328,2013
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.389,2014
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.449,2015
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.509,2016
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.663,2017
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.818,2018
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.973,2019
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,9.094,2020
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,9.218,2021
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,9.218,2022
ETH,Ethiopia,eys,Expected Years of Schooling (years),HDI,Human Development Index,9.218,2023
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,2.418,1990
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,2.267,1991
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,2.125,1992
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,1.984,1993
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,1.842,1994
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,1.968,1995
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,2.205,1996
ETH,Ethiopia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,2.457,1997
