country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.204,1990
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.217,1991
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.229,1992
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.241,1993
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.253,1994
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.265,1995
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.267,1996
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.290,1997
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.302,1998
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.314,1999
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.326,2000
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.808,2001
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,8.872,2002
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,9.489,2003
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,9.759,2004
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,10.029,2005
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,10.299,2006
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,10.569,2007
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,10.869,2008
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,10.788,2009
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,11.109,2010
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,11.693,2011
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,11.765,2012
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,11.809,2013
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.166,2014
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.266,2015
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.680,2016
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.508,2017
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,11.817,2018
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,11.754,2019
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.129,2020
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.402,2021
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.956,2022
IND,India,eys,Expected Years of Schooling (years),HDI,Human Development Index,12.955,2023
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.689,1990
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.741,1991
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.793,1992
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.846,1993
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.899,1994
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.953,1995
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,6.997,1996
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,7.083,1997
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,7.131,1998
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,7.179,1999
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,7.227,2000
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,7.699,2001
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,7.865,2002
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,8.855,2003
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,9.147,2004
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,9.439,2005
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,9.731,2006
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,10.023,2007
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,10.257,2008
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,10.491,2009
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,10.804,2010
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,11.307,2011
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,11.655,2012
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.003,2013
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.387,2014
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.507,2015
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,13.085,2016
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.866,2017
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,11.853,2018
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,11.833,2019
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.083,2020
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.318,2021
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.926,2022
IND,India,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,12.965,2023
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.617,1990
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.589,1991
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.561,1992
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.533,1993
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.505,1994
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.477,1995
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.439,1996
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.405,1997
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.383,1998
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.362,1999
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.340,2000
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.828,2001
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,9.800,2002
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,10.074,2003
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,10.323,2004
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,10.572,2005
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,10.821,2006
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.070,2007
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.066,2008
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.061,2009
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.389,2010
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.787,2011
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.876,2012
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.632,2013
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.964,2014
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.046,2015
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.308,2016
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.179,2017
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.783,2018
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,11.682,2019
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.171,2020
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.479,2021
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.984,2022
IND,India,eys_m,"Expected Years of Schooling, male (years)",GDI,Gender Development Index,12.945,2023
IND,India,gdi_group,GDI Group,GDI,Gender Development Index,5,2023
IND,India,gii_rank,GII Rank,GII,Gender Inequality Index,102,2023
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1024.851,1990
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1000.550,1991
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1013.567,1992
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1005.977,1993
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1026.266,1994
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1072.591,1995
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1134.022,1996
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1161.244,1997
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1211.733,1998
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1296.919,1999
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1346.412,2000
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1660.929,2001
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1676.352,2002
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1754.670,2003
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1838.477,2004
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1866.289,2005
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,1992.889,2006
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,2057.939,2007
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,2020.918,2008
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,2076.092,2009
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,2179.504,2010
IND,India,gni_pc_f,"Gross National Income Per Capita, female (2021 PPP$)",GDI,Gender Development Index,2286.275,2011
